ユーザー名,大計画,中計画,小計画タスク,日付,完了フラグ,video_url,material_id,page_range
田中太郎,2027年2月 私立中学合格！,[国語] 随筆文の読解,随筆文読解ドリルP.1-2,2026-06-02,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 速さ・時間・距離,速さの公式 基本問題P.1-2,2026-06-02,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 人体のつくり,人体のつくり 教科書P.70-73読む,2026-06-05,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（鎌倉〜江戸）,鎌倉時代 教科書P.70-72読む,2026-06-05,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 随筆文の読解,随筆文 筆者の考えを読み取る練習,2026-06-09,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 速さ・時間・距離,速さ・時間・距離 ドリルP.5-6,2026-06-09,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 人体のつくり,人体のつくり ワークP.15-16,2026-06-12,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（鎌倉〜江戸）,室町時代 教科書P.73-75読む,2026-06-12,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 随筆文の読解,随筆文読解ドリルP.3-4,2026-06-16,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 速さ・時間・距離,速さの応用問題2問,2026-06-16,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 人体のつくり,人体のつくり 確認問題5問,2026-06-19,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（鎌倉〜江戸）,戦国・安土桃山 教科書P.76-78読む,2026-06-19,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 随筆文の読解,随筆文 演習問題1題,2026-06-23,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 速さ・時間・距離,速さ・時間・距離 まとめドリル,2026-06-23,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 人体のつくり,人体のつくり まとめテスト対策,2026-06-26,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（鎌倉〜江戸）,江戸時代 教科書P.79-81読む,2026-06-26,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 随筆文の読解,随筆文 月間まとめテスト,2026-06-30,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 速さ・時間・距離,速さ・時間・距離 月間まとめテスト,2026-06-30,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 説明文の基礎読解,テスト１,2026-03-15,0,,,
